tenure,MonthlyCharges,TotalCharges,StreamingService,FiberOptic,ContractType,Churn
52,104.24749504468171,3271.805095304177,1,1,1,0
15,101.68709638898265,6420.56065272336,0,1,1,0
61,58.16694472665471,1711.8815135683008,1,0,0,1
21,85.39255622534994,4485.171099488061,1,1,0,1
24,38.850921689290004,5891.263238634431,1,1,0,1
3,47.711346891231834,4966.285057055415,1,0,2,0
22,108.33174976137254,1585.3954034617875,0,0,1,1
53,19.556693312828973,2907.5380926173416,1,0,2,0
2,26.84360735087404,6291.9550974346375,0,1,1,0
30,39.142568642175746,4478.389461642932,0,0,0,1
38,20.91648648931888,141.31394698901062,0,1,2,0
2,36.48426122652463,6111.827004221941,0,1,0,0
64,76.84567687745405,378.9597040278887,1,1,1,0
60,60.60316733454604,5991.296883576734,1,1,1,1
21,107.96350696323597,1699.5964253053755,0,0,1,0
33,100.40307795471331,7668.780492943104,0,0,0,0
58,52.602643845636536,3006.7319352864674,0,1,1,0
22,44.3220550598449,2682.759769070825,0,0,0,1
49,56.409087020810325,1276.215597626313,1,1,2,1
59,77.57464172273818,2514.2733023726973,0,1,1,0
42,45.190395902699066,7025.541018442785,1,1,1,0
60,80.97696523883798,7971.041267255254,0,0,1,0
15,59.395871045219664,3009.6452910041016,0,1,2,1
62,73.73074167562402,3644.0239845408864,0,1,1,0
62,62.08071617809933,5804.360411801623,0,0,0,1
47,47.843808833962726,7100.946665674089,1,0,0,0
62,113.56955734969675,4785.050240075595,1,0,1,1
51,94.99238231305596,3193.0530156048517,1,0,1,1
55,32.331374164528484,3359.7125427041274,0,1,2,0
64,105.53103157774024,5595.383357324774,0,0,2,1
3,67.23683542407612,125.42428247380158,1,1,2,0
51,108.15249880285619,4994.755765932741,1,0,1,0
7,98.63545322270518,2908.394782486723,0,0,2,0
21,60.98395719915796,6374.158917088966,0,0,2,1
39,20.508165486171798,834.626054602744,1,0,0,0
18,45.25207461818708,4746.797908892285,0,0,2,0
4,72.68423857341713,3899.6858301003776,0,0,0,0
60,81.9145610925278,5174.371654651297,1,1,0,0
14,44.167712386036825,612.3433964154499,0,0,2,0
9,32.25528544431883,4681.871920682237,1,0,0,0
53,102.16048879832957,4535.728244880237,0,0,1,1
2,117.18241916070698,4529.214745887751,1,0,1,0
60,71.08186332141992,4867.552566111993,0,1,2,0
71,35.503768227754506,5444.0967040882615,1,0,1,0
44,45.61688631519658,6459.413097478081,1,0,0,0
8,20.098262993020406,2231.5836890128935,1,0,1,1
47,110.13703005933014,6617.89034042249,1,0,2,1
35,30.083983830459182,4036.2198898812835,0,1,2,0
36,76.18990578918249,708.7604051612162,0,0,0,1
50,45.7925496790642,562.5523410274357,1,1,2,1
4,73.94488925283724,2740.48271769888,0,0,1,1
2,83.71774902936235,6300.686119180594,0,1,2,0
6,101.63905127257377,5690.679384453235,0,1,0,1
54,38.99533781194062,6330.058220912011,0,0,2,0
4,19.35508078017729,4186.425545888715,0,0,1,0
54,32.00700582191513,3577.5720838483753,1,1,0,0
63,108.70187350573457,1264.8749609796432,1,1,1,0
18,106.07595279503278,2692.722753513561,1,0,0,0
44,78.29001676811598,3528.7529927736146,1,1,2,0
34,78.60194447358217,799.9433944689762,0,1,0,0
62,85.08618579189867,1842.834426418569,0,1,0,1
14,35.87481350165668,4825.979823103537,1,0,2,1
48,110.14840056545846,5911.7386024895995,0,1,1,0
15,60.33643775165335,7986.945340004302,0,1,2,1
62,56.75542208907449,7471.595317614106,1,1,0,1
40,70.40122938092517,5176.2650763280135,0,0,2,1
53,22.97007966089303,3427.859621023169,1,0,0,0
24,34.96147855998598,5125.801181195038,1,1,2,0
26,92.42237845085023,6306.647782833833,0,0,2,1
60,26.57126612647521,1034.85590829476,0,1,1,0
41,78.86678700137202,3338.248628600677,1,0,0,0
29,42.90758552297275,6734.438056521376,1,0,1,0
15,57.37420921121864,3132.2803202710475,0,1,0,0
45,47.263720545455335,4617.790942694774,1,0,2,0
65,53.995108004727385,4743.377950811366,1,0,0,0
71,90.51411347101667,1557.3623997557509,1,0,1,0
9,48.11073242012909,2961.6599890530783,0,1,1,1
1,75.17366634983816,2742.639181061264,1,0,1,1
8,66.09306542100951,306.95399740331186,0,0,0,0
63,84.94895211894614,291.1149347417064,1,1,1,1
11,112.40138880213817,6670.40664503861,0,0,1,0
8,91.87349576963015,2257.259398785218,1,0,1,0
35,39.85150804837106,4192.822253286642,0,0,2,1
35,21.383905073659108,2459.932031351307,0,0,2,1
33,44.60753645213242,7531.36603641119,0,0,0,1
5,78.05533203537561,2148.4443950396126,1,1,0,0
